"Country.Name","region","Dyear","values"
"Australia","AUS","D2011",79.48769771
"Australia","AUS","D2012",79
"Australia","AUS","D2013",83.45349717
"Australia","AUS","D2014",84
"Australia","AUS","D2015",84.56051491
"Australia","AUS","D2016",86.54
"Australia","AUS","D2017",86.54504885
"Australia","AUS","D2018",90
"Australia","AUS","D2019",93.60991916
"Australia","AUS","D2020",96.39446689
"Australia","AUS","D2021",96.24
"Australia","AUS","D2022",NA
"Austria","AUT","D1990",0.130369377
"Austria","AUT","D1991",0.259081553
"Austria","AUT","D1992",0.642817619
"Austria","AUT","D1993",0.76534273
"Austria","AUT","D1994",1.393422968
"Austria","AUT","D1995",1.890210524
"Austria","AUT","D1996",6.909162353
"Austria","AUT","D1997",9.533974317
"Austria","AUT","D1998",15.42121932
"Austria","AUT","D1999",23.0443171
"Austria","AUT","D2000",33.73013295
"Austria","AUT","D2001",39.18545018
"Austria","AUT","D2002",36.56
"Austria","AUT","D2003",42.7
"Austria","AUT","D2004",54.28
"Austria","AUT","D2005",58
"Austria","AUT","D2006",63.6
"Austria","AUT","D2007",69.37
"Austria","AUT","D2008",72.87
"Austria","AUT","D2009",73.45
"Austria","AUT","D2010",75.17
"Austria","AUT","D2011",78.7399931
"Austria","AUT","D2012",80.02999392
"Austria","AUT","D2013",80.6188
"Austria","AUT","D2014",80.99582496
"Austria","AUT","D2015",83.94014193
"Austria","AUT","D2016",84.32374257
"Austria","AUT","D2017",87.93558659
"Austria","AUT","D2018",87.47913723
"Austria","AUT","D2019",87.75220479
"Austria","AUT","D2020",87.52942813
"Austria","AUT","D2021",92.52915104
"Austria","AUT","D2022",93.61409139
"Azerbaijan","AZE","D1990",0
"Azerbaijan","AZE","D1991",0
"Azerbaijan","AZE","D1992",0
"Azerbaijan","AZE","D1993",0
"Azerbaijan","AZE","D1994",0.001431415
"Azerbaijan","AZE","D1995",0.002055556
"Azerbaijan","AZE","D1996",0.006354585
"Azerbaijan","AZE","D1997",0.025187933
"Azerbaijan","AZE","D1998",0.037485109
