"Family","No.","English Name","Scientific Name","Malay Name","Chinese Name","Review Species","Category","Local Status","RDB 3 Status","","","","","","","","","","","","","","","","","",""
"","107","Broad-billed Sandpiper","Calidris falcinellus","Kedidi Paruh Lebar","阔嘴鹬","Yes","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","108","Sharp-tailed Sandpiper","Calidris acuminata","Kedidi Ekor Tajam","尖尾滨鹬","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","109","Curlew Sandpiper","Calidris ferruginea","Kedidi Paruh Lengkuk","弯嘴滨鹬","","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","110","Long-toed Stint","Calidris subminuta","Kedidi-Kerdil Jari Panjang","长趾滨鹬","Yes","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","111","Spoon-billed Sandpiper","Calidris pygmaea","Kedidi Paruh Sudu","勺嘴鹬","Yes","A","Vagr","CR","","","","","","","","","","","","","","","","","",""
"","112","Red-necked Stint","Calidris ruficollis","Kedidi-Kerdil Leher Merah","红颈滨鹬","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","113","Sanderling","Calidris alba","Kedidi Jari Tiga","三趾滨鹬","Yes","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","114","Little Stint","Calidris minuta","Kedidi-Kerdil Perang","小滨鹬","Yes","A","Vagr","DD","","","","","","","","","","","","","","","","","",""
"","115","Pectoral Sandpiper","Calidris melanotos","Kedidi Dada Hitam","斑胸滨鹬","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","116","Asian Dowitcher","Limnodromus semipalmatus","Kedidi-Tetiruk Asia","半蹼鹬","Yes","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","117","Pin-tailed Snipe","Gallinago stenura","Berkik Ekor Jarum","针尾沙锥","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","118","Swinhoe's Snipe","Gallinago megala","Berkik Siberia Selatan","大沙锥","Yes","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","119","Common Snipe","Gallinago gallinago","Berkik Kipas Erasia","扇尾沙锥","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","120","Terek Sandpiper","Xenus cinereus","Kedidi Sereng","翘嘴鹬","","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","121","Red-necked Phalarope","Phalaropus lobatus","Kedidi-Jarum Leher Merah","红颈瓣蹼鹬","Yes","A","Vagr","DD","","","","","","","","","","","","","","","","","",""
"","122","Common Sandpiper","Actitis hypoleucos","Kedidi-Kelicap Biasa","矶鹬","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","123","Green Sandpiper","Tringa ochropus","Kedidi-Hijau Erasia","白腰草鹬","Yes","A","Vagr","LC","","","","","","","","","","","","","","","","","",""
"","124","Grey-tailed Tattler","Tringa brevipes","Kedidi-Kacau Asia","灰尾漂鹬","Yes","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","125","Common Redshank","Tringa totanus","Kedidi Kaki Merah Biasa","红脚鹬","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","126","Marsh Sandpiper","Tringa stagnatilis","Kedidi Paya","泽鹬","","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","127","Wood Sandpiper","Tringa glareola","Kedidi Sawah","林鹬","","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","128","Spotted Redshank","Tringa erythropus","Kedidi Kaki Merah Hitam","鹤鹬","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","129","Common Greenshank","Tringa nebularia","Kedidi Kaki Hijau Biasa","青脚鹬","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","130","Nordmann's Greenshank","Tringa guttifer","Kedidi Kaki Hijau Berbintik","小青脚鹬","Yes","A","Vagr","EN","","","","","","","","","","","","","","","","","",""
"Coursers, Pratincoles (Glareolidae)","131","Oriental Pratincole","Glareola maldivarum","Kedidi-Padang Biasa","普通燕鸻","","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","132","Small Pratincole","Glareola lactea","Kedidi-Padang Kecil","灰燕鸻","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"Gulls, Terns, Skimmers (Laridae)","133","Brown-headed Gull","Chroicocephalus brunnicephalus","Camar-Topeng Asia","棕头鸥","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","134","Black-headed Gull","Chroicocephalus ridibundus","Camar-Topeng Erasia","红嘴鸥","Yes","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","135","Gull-billed Tern","Gelochelidon nilotica","Camar Paruh Tebal Biasa","鸥嘴噪鸥","Yes","A","Vis","DD","","","","","","","","","","","","","","","","","",""
"","136","Caspian Tern","Hydroprogne caspia","Camar Raya","红嘴巨燕鸥","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","137","Greater Crested Tern","Thalasseus bergii","Camar Berjambul Besar","大凤头燕鸥","","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","138","Lesser Crested Tern","Thalasseus bengalensis","Camar Berjambul Kecil","小凤头燕鸥","","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","139","Little Tern","Sternula albifrons","Camar Kecil Biasa","白额燕鸥","","A","Res","EN","","","","","","","","","","","","","","","","","",""
"","140","Aleutian Tern","Onychoprion aleuticus","Camar Batu Kelabu","白腰燕鸥","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","141","Bridled Tern","Onychoprion anaethetus","Camar Batu Biasa","褐翅燕鸥","","A","Res/Mi","EN","","","","","","","","","","","","","","","","","",""
"","142","Black-naped Tern","Sterna sumatrana","Camar Tengkuk Hitam","黑枕燕鸥","","A","Res","EN","","","","","","","","","","","","","","","","","",""
"","143","Common Tern","Sterna hirundo","Camar Siput","普通燕鸥","Yes","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","144","Whiskered Tern","Chlidonias hybrida","Camar Tasik Bermisai Biasa","须浮鸥","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","145","White-winged Tern","Chlidonias leucopterus","Camar Tasik Sayap Putih","白翅浮鸥","","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"Skuas (Stercorariidae)","146","Pomarine Jaeger","Stercorarius pomarinus","Camar-Lanun Ekor Sudu","中贼鸥","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","147","Parasitic Jaeger","Stercorarius parasiticus","Camar-Lanun Paruh Lampai","短尾贼鸥","Yes","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","148","Long-tailed Jaeger","Stercorarius longicaudus","Camar-Lanun Ekor Panjang","长尾贼鸥","Yes","A","Vagr","LC","","","","","","","","","","","","","","","","","",""
"Tropicbirds (Phaethontidae)","149","White-tailed Tropicbird","Phaethon lepturus","Camar-Pita Paruh Kuning","白尾鹲","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"Northern Storm Petrels (Hydrobatidae)","150","Swinhoe's Storm Petrel","Hydrobates monorhis","Lelayang-Laut Kelam Asia","黑叉尾海燕","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"Petrels, Shearwaters, Diving Petrels (Procellariidae)","151","Wedge-tailed Shearwater","Ardenna pacifica","Itik-itik Dahi Putih","楔尾鹱","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","152","Short-tailed Shearwater","Ardenna tenuirostris","Itik-itik Ekor Pendek Pasifik","短尾鹱","Yes","A","Mi","NE","","","","","","","","","","","","","","","","","",""
"","153","Bulwer's Petrel","Bulweria bulwerii","Tekukur-Laut Biasa","褐燕鹱","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"Storks (Ciconiidae)","154","Asian Openbill","Anastomus oscitans","Upih-Siput Asia","钳嘴鹳","Yes","A","Vagr","LC","","","","","","","","","","","","","","","","","",""
"","155","Lesser Adjutant","Leptoptilos javanicus","Burung-Botak Kecil","秃鹳","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"","156","Painted Stork","Mycteria leucocephala","Upih Sawah","彩鹳","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"","157","Milky Stork","Mycteria cinerea","Upih Bakau","白鹮鹳","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"Frigatebirds (Fregatidae)","158","Christmas Frigatebird","Fregata andrewsi","Simbang Pulau Natal","白腹军舰鸟","Yes","A","Vis","NE","","","","","","","","","","","","","","","","","",""
"","159","Lesser Frigatebird","Fregata ariel","Simbang Kecil","白斑军舰鸟","Yes","A","Vis","LC","","","","","","","","","","","","","","","","","",""
"Gannets, Boobies (Sulidae)","160","Masked Booby","Sula dactylatra","Angsa-Laut Paruh Kuning","蓝脸鲣鸟","Yes","A","Vis","NE","","","","","","","","","","","","","","","","","",""
"","161","Red-footed Booby","Sula sula","Angsa-Laut Kaki Merah","红脚鲣鸟","Yes","A","Vis","LC","","","","","","","","","","","","","","","","","",""
"","162","Brown Booby","Sula leucogaster","Angsa-Laut Biasa","褐鲣鸟","Yes","A","Vis","LC","","","","","","","","","","","","","","","","","",""
"Anhingas, Darters (Anhingidae)","163","Oriental Darter","Anhinga melanogaster","Kosa-Ular Asia","黑腹蛇鹈","","A","Vis","NT","","","","","","","","","","","","","","","","","",""
"Ibises, Spoonbills (Threskiornithidae)","164","Black-headed Ibis","Threskiornis melanocephalus","Sekendi Kepala Hitam Asia","黑头白鹮","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","165","Glossy Ibis","Plegadis falcinellus","Sekendi Kilat Biasa","彩鹮","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"Herons, Bitterns (Ardeidae)","166","Yellow Bittern","Ixobrychus sinensis","Gelam Kuning","黄苇鳽","","A","Res/Mi","VU","","","","","","","","","","","","","","","","","",""
"","167","Von Schrenck's Bittern","Ixobrychus eurhythmus","Gelam Belakang Coklat","紫背苇鳽","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","168","Cinnamon Bittern","Ixobrychus cinnamomeus","Gelam Bendang","栗苇鳽","","A","Res/Mi","VU","","","","","","","","","","","","","","","","","",""
"","169","Black Bittern","Ixobrychus flavicollis","Gelam Hitam","黑鳽","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","170","Malayan Night Heron","Gorsachius melanolophus","Pucung-Harimau Ubun Hitam","黑冠鳽","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","171","Black-crowned Night Heron","Nycticorax nycticorax","Pucung-Kuak Biasa","夜鹭","","A","Res","EN","","","","","","","","","","","","","","","","","",""
